2012-01-19 11:48:56 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 1]
2012-01-19 11:48:57 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 6]
2012-01-19 11:49:26 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 1]
2012-01-19 11:49:26 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 6]
2012-01-19 11:51:57 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 1]
2012-01-19 11:51:57 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 6]
2012-01-19 11:51:58 Notice: Notice (8): Undefined variable: parent in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/add.ctp, line 6]
2012-01-19 11:51:58 Notice: Notice (8): Undefined variable: parent in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/add.ctp, line 21]
2012-01-19 12:56:56 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 1]
2012-01-19 12:56:56 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 6]
2012-01-19 12:59:21 Notice: Notice (8): Undefined variable: id in [/Users/don/Public/Subversion/revolutioncycles.net/app/models/page.php, line 105]
2012-01-19 12:59:21 Notice: Notice (8): Undefined variable: id in [/Users/don/Public/Subversion/revolutioncycles.net/app/models/page.php, line 108]
2012-01-19 12:59:21 Notice: Notice (8): Undefined variable: id in [/Users/don/Public/Subversion/revolutioncycles.net/app/models/page.php, line 109]
2012-01-19 12:59:54 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 1]
2012-01-19 12:59:54 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 6]
2012-01-19 13:00:07 Notice: Notice (8): Undefined variable: page in [/Users/don/Public/Subversion/revolutioncycles.net/app/views/pages/display.ctp, line 1]
